Comment,Designator,Footprint,LCSC Part #
0.1uF,C5 C7 C8 C9 C20,C0805,
1N4148W,D1 D2 D3 D4,SOD3716X135N,
1k,R15 R16 R17 R18 R21,R0805,
1uF,C1 C2 C3 C4 C6 C11 C13,C0805,
2.2uF,C21,C0805,
3.3k,R11 R12,R0805,
4.7k,R10 R14,R0805,
10k,R2 R4 R6 R8 R13,R0805,
10uF,C10 C12 C14 C15 C17 C19,C0805,
100k,R1 R3 R5 R9,R0805,
470pF,C18,C0805,
105164-0001,J2,1051640001,
AO3400A,Q1 Q2 Q3 Q4,SOT95P280X125-3N,
AO3401A,Q5,SOT95P280X125-3N,
BAT60J,D5,SOD323_ST,
Blue,LED1 LED4,CHIP-LED0805,
CP2102,IC2,MLP28,
DDC114TU-7-F,Q6,SOT65P210X110-6N,
ESP-WROOM-32,U1,ESP-WROOM-32,
Green,LED2,CHIP-LED0805,
JS102011JCQN,S1,JS102011JCQN,
KSR251G_LFS,S4 S5,KSR251GLFS,
MIC5219-3.3YM5-TR,IC3,SOT95P280X145-5N,
MOTOR1+,PAD2,SMD1 27-2 54,
MOTOR1-,PAD1,SMD1 27-2 54,
MOTOR2+,PAD4,SMD1 27-2 54,
MOTOR2-,PAD3,SMD1 27-2 54,
MOTOR3+,PAD6,SMD1 27-2 54,
MOTOR3-,PAD5,SMD1 27-2 54,
MOTOR4+,PAD8,SMD1 27-2 54,
MOTOR4-,PAD7,SMD1 27-2 54,
MPU6050,IC1,QFN50P400X400X95-25T265X275N,
RED,LED3,CHIP-LED0805,
